"","eukprok","mag","Domain","Clade","Kingdom","Supergroup","Phylum","Class","Order","Family","Genus","Species","community","degree","MAG","classification"
"171","euk","Cluster_117","Eukaryota","Sar",".","-","-","-","-","-",".","-",4,28,"SAO-all-DCM-0-8-5-00_bin-253","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"172","euk","Cluster_164","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Harpacticoida","Harpacticidae","Tigriopus","Tigriopus californicus",1,20,"MS-all-SRF-20-180-00_bin-70","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Harpacticoida;Harpacticidae;Tigriopus;Tigriopus californicus"
"173","euk","Cluster_116","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Harpacticoida","Harpacticidae","Tigriopus","Tigriopus californicus",1,23,"SPO-all-SRF-20-180-00_bin-173","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Harpacticoida;Harpacticidae;Tigriopus;Tigriopus californicus"
"174","euk","Cluster_116","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Harpacticoida","Harpacticidae","Tigriopus","Tigriopus californicus",1,23,"SPO-SPSG-SRF-20-180-00_bin-93","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Harpacticoida;Harpacticidae;Tigriopus;Tigriopus californicus"
"175","euk","Cluster_23","Eukaryota","Sar",".","Stramenopiles","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis kerguelensis",2,31,"NAO-all-MIX-0-8-5-00_bin-193","Eukaryota;Sar;.;Stramenopiles;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis kerguelensis"
"176","euk","Cluster_23","Eukaryota","Sar",".","Stramenopiles","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis kerguelensis",2,31,"SAO-all-SRF-0-8-5-00_bin-333","Eukaryota;Sar;.;Stramenopiles;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis kerguelensis"
"177","euk","Cluster_23","Eukaryota","Sar",".","Stramenopiles","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis kerguelensis",2,31,"SO-all-SRF-0-8-5-00_bin-63","Eukaryota;Sar;.;Stramenopiles;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis kerguelensis"
"178","euk","Cluster_53","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,38,"IO-all-SRF-0-8-5-00_bin-141","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"179","euk","Cluster_53","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,38,"SPO-SPSG-SRF-0-8-5-00_bin-285","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"180","euk","Cluster_53","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,38,"NPO-all-SRF-0-8-5-00_bin-455","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"181","euk","Cluster_53","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,38,"SPO-all-SRF-0-8-5-00_bin-499","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"182","euk","Cluster_53","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,38,"IO-all-DCM-0-8-5-00_bin-230","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"183","euk","Cluster_53","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,38,"IO-all-DCM-0-8-5-00_bin-351","Eukaryota;Sar;.;-;-;-;-;-;.;-"
