"","Predicted.trophic.mode","KEGG_ID_NUM","summed","total","Ratio","ProbSuccess"
"116","Heterotroph","K00822",4,211,0.018957345971564,0.018957345971564
"117","Heterotroph","K00825",86,211,0.407582938388626,0.407582938388626
"118","Heterotroph","K00826",179,211,0.848341232227488,0.848341232227488
"119","Heterotroph","K00845",12,211,0.0568720379146919,0.0568720379146919
"120","Heterotroph","K00846",58,211,0.274881516587678,0.274881516587678
"121","Heterotroph","K00851",86,211,0.407582938388626,0.407582938388626
"122","Heterotroph","K00853",7,211,0.033175355450237,0.033175355450237
"123","Heterotroph","K00855",8,211,0.037914691943128,0.037914691943128
"124","Heterotroph","K00861",54,211,0.255924170616114,0.255924170616114
"125","Heterotroph","K00865",39,211,0.184834123222749,0.184834123222749
"126","Heterotroph","K00873",207,211,0.981042654028436,0.981042654028436
"127","Heterotroph","K00874",4,211,0.018957345971564,0.018957345971564
"128","Heterotroph","K00878",44,211,0.208530805687204,0.208530805687204
"129","Heterotroph","K00891",11,211,0.0521327014218009,0.0521327014218009
"130","Heterotroph","K00894",73,211,0.345971563981043,0.345971563981043
"131","Heterotroph","K00901",153,211,0.725118483412322,0.725118483412322
"132","Heterotroph","K00905",39,211,0.184834123222749,0.184834123222749
