"","Source_ID","HeterotrophyScore","Predicted.trophic.mode","Genome","Phagocyte.generalist.prediction","Phagocyte.entamoebid.prediction","Phagocyte.rozellid.prediction","Prototrophy.prediction","Photosynthesis.prediction","Trophic.mode","RF.predicted.TM"
"592","MMETSP1416",-387,"Phototroph","MMETSP1416.sigModels.txt",0.011313066824983,0.0226067338016284,0.161376205021825,0.820160507601233,0.948751338873698,"Phototroph","Phototroph"
"593","MMETSP1417",-380,"Phototroph","MMETSP1417.sigModels.txt",0.0538045831684264,0.057253805371012,0.20880655037392,0.877391566267678,0.935980246111944,"Phototroph","Phototroph"
"594","MMETSP1418",-365,"Phototroph","MMETSP1418.sigModels.txt",0.0192997813222631,0.124043551179061,0.224139696041748,0.849642186295866,0.954137426184787,"Phototroph","Phototroph"
"595","MMETSP1419",-375,"Phototroph","MMETSP1419.sigModels.txt",0.00738582783891777,0.0233165299224816,0.231215231964133,0.848004621683007,0.955779704774858,"Phototroph","Phototroph"
"596","MMETSP1420",-386,"Phototroph","MMETSP1420.sigModels.txt",0.0412370377767945,0.0524842076665031,0.172952442099255,0.75543540228096,0.975616639797411,"Phototroph","Phototroph"
"597","MMETSP1421",-395,"Phototroph","MMETSP1421.sigModels.txt",0.0365147317101675,0.0477303679267242,0.132359644444761,0.804256193836334,0.972069291426051,"Phototroph","Phototroph"
"598","MMETSP1422",-394,"Phototroph","MMETSP1422.sigModels.txt",0.00489526110709411,0.0207771265397242,0.181601726396903,0.793254272862167,0.966110344460799,"Phototroph","Phototroph"
"599","MMETSP1423",-385,"Phototroph","MMETSP1423.sigModels.txt",0.00116999273330613,0.00124616185826314,0.143502498361295,0.812729695639532,0.934831876247267,"Phototroph","Phototroph"
"600","MMETSP1424",35,"Heterotroph","MMETSP1424.sigModels.txt",0.466147434748241,0.37030118496,0.839344189810359,0.641847755959347,0.00608359817301181,"Heterotroph","Heterotroph"
"601","MMETSP1425",42,"Heterotroph","MMETSP1425.sigModels.txt",0.476601341232003,0.239778500022523,0.840206312624645,0.813859895408465,0.00583595666742502,"Heterotroph","Heterotroph"
"602","MMETSP1426",0.0432,"Mixotroph","MMETSP1426.sigModels.txt",0.92046970257708,0.877196904782708,0.947258972288564,0.917795812269396,0.210695459614224,"Heterotroph","Heterotroph"
"603","MMETSP1428",-385,"Phototroph","MMETSP1428.sigModels.txt",0.00232859674281235,0.00741452367203586,0.218836166673072,0.912563241497654,0.95993645587227,"Phototroph","Phototroph"
"604","MMETSP1429",-373,"Phototroph","MMETSP1429.sigModels.txt",0.00443301242311747,0.00386593575351013,0.0724337487077953,0.797238358912715,0.951439431447442,"Phototroph","Phototroph"
"605","MMETSP1432",-369,"Phototroph","MMETSP1432.sigModels.txt",0.00242325559142212,0.00207149932767798,0.116478669112226,0.646729157401314,0.934437187443696,"Phototroph","Phototroph"
"606","MMETSP1433",6,"Heterotroph","MMETSP1433.sigModels.txt",0.757880518385327,0.974017094502374,0.850954851186634,0.935868130356866,0.010417636304951,"Phototroph","Phototroph"
"607","MMETSP1434",-222,"Phototroph","MMETSP1434.sigModels.txt",0.00163717014097407,0.00104284153262738,0.0626108361165123,0.396613418551186,0.879940770830249,"Phototroph","Phototroph"
