"community","Cluster","MAG"
4,"Cluster_39","SAO-all-SRF-20-180-00_bin-36"
4,"Cluster_39","IO-all-DCM-20-180-00_bin-103"
4,"Cluster_39","NAO-all-DCM-20-180-00_bin-23"
4,"Cluster_39","NPO-all-SRF-20-180-00_bin-72"
4,"Cluster_39","NPO-all-DCM-20-180-00_bin-73"
4,"Cluster_39","NAO-all-SRF-20-180-00_bin-44"
4,"Cluster_39","IO-all-SRF-20-180-00_bin-73"
4,"Cluster_39","SAO-all-DCM-20-180-00_bin-11"
4,"Cluster_39","SAO-all-SRF-20-180-00_bin-36"
4,"Cluster_39","IO-all-DCM-20-180-00_bin-103"
4,"Cluster_39","NAO-all-DCM-20-180-00_bin-23"
4,"Cluster_39","NPO-all-SRF-20-180-00_bin-72"
4,"Cluster_39","NPO-all-DCM-20-180-00_bin-73"
4,"Cluster_39","NAO-all-SRF-20-180-00_bin-44"
4,"Cluster_39","IO-all-SRF-20-180-00_bin-73"
4,"Cluster_39","SAO-all-DCM-20-180-00_bin-11"
4,"Cluster_39","SAO-all-SRF-20-180-00_bin-36"
4,"Cluster_39","IO-all-DCM-20-180-00_bin-103"
4,"Cluster_39","NAO-all-DCM-20-180-00_bin-23"
4,"Cluster_39","NPO-all-SRF-20-180-00_bin-72"
4,"Cluster_39","NPO-all-DCM-20-180-00_bin-73"
4,"Cluster_39","NAO-all-SRF-20-180-00_bin-44"
4,"Cluster_39","IO-all-SRF-20-180-00_bin-73"
4,"Cluster_39","SAO-all-DCM-20-180-00_bin-11"
4,"Cluster_39","SAO-all-SRF-20-180-00_bin-36"
4,"Cluster_39","IO-all-DCM-20-180-00_bin-103"
4,"Cluster_39","NAO-all-DCM-20-180-00_bin-23"
4,"Cluster_39","NPO-all-SRF-20-180-00_bin-72"
4,"Cluster_39","NPO-all-DCM-20-180-00_bin-73"
4,"Cluster_39","NAO-all-SRF-20-180-00_bin-44"
4,"Cluster_39","IO-all-SRF-20-180-00_bin-73"
4,"Cluster_39","SAO-all-DCM-20-180-00_bin-11"
4,"Cluster_39","SAO-all-SRF-20-180-00_bin-36"
4,"Cluster_39","IO-all-DCM-20-180-00_bin-103"
4,"Cluster_39","NAO-all-DCM-20-180-00_bin-23"
4,"Cluster_39","NPO-all-SRF-20-180-00_bin-72"
4,"Cluster_39","NPO-all-DCM-20-180-00_bin-73"
4,"Cluster_39","NAO-all-SRF-20-180-00_bin-44"
4,"Cluster_39","IO-all-SRF-20-180-00_bin-73"
4,"Cluster_39","SAO-all-DCM-20-180-00_bin-11"
