"","Source_ID","Predicted.trophic.mode","Score"
"212","IO-all-SRF-0-8-5-00_bin-336","Mixotroph",217
"213","IO-all-SRF-0-8-5-00_bin-336","Phototroph",276
"214","IO-all-SRF-0-8-5-00_bin-34","Heterotroph",298
"215","IO-all-SRF-0-8-5-00_bin-34","Mixotroph",316
"216","IO-all-SRF-0-8-5-00_bin-34","Phototroph",393
"217","IO-all-SRF-0-8-5-00_bin-341","Heterotroph",330
"218","IO-all-SRF-0-8-5-00_bin-341","Mixotroph",426
"219","IO-all-SRF-0-8-5-00_bin-341","Phototroph",499
"220","IO-all-SRF-0-8-5-00_bin-348","Heterotroph",525
"221","IO-all-SRF-0-8-5-00_bin-348","Mixotroph",498
"222","IO-all-SRF-0-8-5-00_bin-348","Phototroph",428
"223","IO-all-SRF-0-8-5-00_bin-349","Heterotroph",171
"224","IO-all-SRF-0-8-5-00_bin-349","Mixotroph",95
"225","IO-all-SRF-0-8-5-00_bin-349","Phototroph",182
"226","IO-all-SRF-0-8-5-00_bin-351","Heterotroph",250
"227","IO-all-SRF-0-8-5-00_bin-351","Mixotroph",178
"228","IO-all-SRF-0-8-5-00_bin-351","Phototroph",249
"229","IO-all-SRF-0-8-5-00_bin-380","Heterotroph",342
"230","IO-all-SRF-0-8-5-00_bin-380","Mixotroph",314
"231","IO-all-SRF-0-8-5-00_bin-380","Phototroph",325
"232","IO-all-SRF-0-8-5-00_bin-402","Heterotroph",294
"233","IO-all-SRF-0-8-5-00_bin-402","Mixotroph",236
"234","IO-all-SRF-0-8-5-00_bin-402","Phototroph",282
"235","IO-all-SRF-0-8-5-00_bin-406","Heterotroph",336
"236","IO-all-SRF-0-8-5-00_bin-406","Mixotroph",413
"237","IO-all-SRF-0-8-5-00_bin-406","Phototroph",507
"238","IO-all-SRF-0-8-5-00_bin-446","Heterotroph",400
"239","IO-all-SRF-0-8-5-00_bin-446","Mixotroph",331
"240","IO-all-SRF-0-8-5-00_bin-446","Phototroph",312
"241","IO-all-SRF-0-8-5-00_bin-484","Heterotroph",253
