"","eukprok","mag","Domain","Clade","Kingdom","Supergroup","Phylum","Class","Order","Family","Genus","Species","community","degree","MAG","classification"
"12","prok","MS-all-SRF-180-2000-00_bin-45","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Vibrionaceae","g__Paraphotobacterium","s__Paraphotobacterium marinum",1,20,NA,NA
"13","prok","IO-all-MES-0-8-5-00_bin-431","d__Bacteria","NA","NA","NA","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","g__GCA-2686995","s__GCA-2686995 sp002686995",2,6,NA,NA
"14","prok","SPO-SPSG-SRF-180-2000-00_bin-221","d__Bacteria","NA","NA","NA","p__Cyanobacteria","c__Cyanobacteriia","o__Synechococcales","f__Cyanobiaceae","g__Synechococcus_C","s__Synechococcus_C sp002687115",3,4,NA,NA
"15","prok","NAO-all-MIX-0-8-5-00_bin-29","d__Bacteria","NA","NA","NA","p__SAR324","c__SAR324","o__SAR324","f__NAC60-12","g__Arctic96AD-7","s__Arctic96AD-7 sp002704555",7,3,NA,NA
"16","prok","SPO-PEOD-DCM-0-8-5-00_bin-138","d__Bacteria","NA","NA","NA","p__SAR324","c__SAR324","o__SAR324","f__NAC60-12","g__JCVI-SCAAA005","s__JCVI-SCAAA005 sp000224765",7,22,NA,NA
"17","prok","SPO-all-SRF-0-8-5-00_bin-257","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Porticoccaceae","g__TMED48","s__TMED48 sp002591625",7,8,NA,NA
"18","prok","NPO-all-DCM-5-20-00_bin-25","d__Bacteria","NA","NA","NA","p__Cyanobacteria","c__Cyanobacteriia","o__Synechococcales","f__Cyanobiaceae","g__Synechococcus_C","s__Synechococcus_C sp002687115",3,4,NA,NA
"19","prok","MS-all-DCM-0-8-5-00_bin-394","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__GCA-2691085","f__GCA-2691085","g__GCA-2691085","s__GCA-2691085 sp002691085",7,3,NA,NA
"20","prok","SPO-SPSG-SRF-180-2000-00_bin-163","d__Bacteria","NA","NA","NA","p__Cyanobacteria","c__Cyanobacteriia","o__Synechococcales","f__Cyanobiaceae","g__Synechococcus_C","s__",3,5,NA,NA
"21","prok","NAO-all-MIX-0-8-5-00_bin-285","d__Bacteria","NA","NA","NA","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales_A","f__GCA-2722175","g__GCA-2722175","s__",7,3,NA,NA
